mls,latitude,longitude,campus_number,school,rating
94222200,29.76837149,-95.47841526,101912116,BRIARGROVE EL,B
95197275,29.75647211,-95.47217352,101912116,BRIARGROVE EL,B
95698683,29.73552345,-95.4811213,101912116,BRIARGROVE EL,B
95729327,29.74300324,-95.46961566,101912116,BRIARGROVE EL,B
96493235,29.74179296,-95.4887099,101912116,BRIARGROVE EL,B
96493235,29.74179296,-95.4887099,101912116,BRIARGROVE EL,B
96493235,29.74179296,-95.4887099,101912116,BRIARGROVE EL,B
96493235,29.74179296,-95.4887099,101912116,BRIARGROVE EL,B
97387930,29.75019061,-95.4931249,101912116,BRIARGROVE EL,B
97492260,29.75812208,-95.48862151,101912116,BRIARGROVE EL,B
97900654,29.75811316,-95.48761843,101912116,BRIARGROVE EL,B
98502954,29.73062271,-95.48237834,101912116,BRIARGROVE EL,B
98652314,29.75078177,-95.49077901,101912116,BRIARGROVE EL,B
55720545,29.7359998,-95.4695693,101912116,BRIARGROVE EL,B
78501736,29.75652688,-95.46063695,101912116,BRIARGROVE EL,B
468622,29.84255407,-95.42270099,101912174,HIGHLAND HTS EL,D
3498325,29.8469138,-95.43213069,101912174,HIGHLAND HTS EL,D
7870166,29.84691343,-95.43219075,101912174,HIGHLAND HTS EL,D
8438080,29.83736982,-95.40923173,101912174,HIGHLAND HTS EL,D
8438080,29.83736982,-95.40923173,101912174,HIGHLAND HTS EL,D
8438080,29.83736982,-95.40923173,101912174,HIGHLAND HTS EL,D
8438080,29.83736982,-95.40923173,101912174,HIGHLAND HTS EL,D
10131915,29.8593555,-95.4235948,101912174,HIGHLAND HTS EL,D
11835422,29.84817031,-95.40288527,101912174,HIGHLAND HTS EL,D
12978269,29.85854833,-95.42347088,101912174,HIGHLAND HTS EL,D
15459024,29.84467314,-95.44040986,101912174,HIGHLAND HTS EL,D
20609299,29.83736982,-95.40923173,101912174,HIGHLAND HTS EL,D
20609299,29.83736982,-95.40923173,101912174,HIGHLAND HTS EL,D
20609299,29.83736982,-95.40923173,101912174,HIGHLAND HTS EL,D
20609299,29.83736982,-95.40923173,101912174,HIGHLAND HTS EL,D
23797675,29.84691399,-95.43210066,101912174,HIGHLAND HTS EL,D
25929121,29.84747235,-95.39839478,101912174,HIGHLAND HTS EL,D
27986762,29.84924413,-95.42608585,101912174,HIGHLAND HTS EL,D
28892832,29.83928414,-95.40569371,101912174,HIGHLAND HTS EL,D
28892832,29.83928414,-95.40569371,101912174,HIGHLAND HTS EL,D
28892832,29.83928414,-95.40569371,101912174,HIGHLAND HTS EL,D
28892832,29.83928414,-95.40569371,101912174,HIGHLAND HTS EL,D
28892832,29.83928414,-95.40569371,101912174,HIGHLAND HTS EL,D
28892832,29.83928414,-95.40569371,101912174,HIGHLAND HTS EL,D
28892832,29.83928414,-95.40569371,101912174,HIGHLAND HTS EL,D
28892832,29.83928414,-95.40569371,101912174,HIGHLAND HTS EL,D
28892832,29.83928414,-95.40569371,101912174,HIGHLAND HTS EL,D
29753226,29.84766519,-95.40139015,101912174,HIGHLAND HTS EL,D
29753226,29.84766519,-95.40139015,101912174,HIGHLAND HTS EL,D
29753226,29.84766519,-95.40139015,101912174,HIGHLAND HTS EL,D
29753226,29.84766519,-95.40139015,101912174,HIGHLAND HTS EL,D
30660702,29.85020022,-95.41767202,101912174,HIGHLAND HTS EL,D
32956377,29.84166957,-95.4050504,101912174,HIGHLAND HTS EL,D
34830405,29.85003408,-95.41831206,101912174,HIGHLAND HTS EL,D
37746697,29.8469153,-95.43189047,101912174,HIGHLAND HTS EL,D
37762379,29.84234704,-95.42547011,101912174,HIGHLAND HTS EL,D
39325433,29.84760214,-95.39839714,101912174,HIGHLAND HTS EL,D
40097444,29.84691511,-95.4319205,101912174,HIGHLAND HTS EL,D
45307275,29.84691362,-95.43216072,101912174,HIGHLAND HTS EL,D
45710231,29.83739204,-95.40792965,101912174,HIGHLAND HTS EL,D
46017485,29.84238111,-95.42247552,101912174,HIGHLAND HTS EL,D
48613451,29.84691418,-95.43207064,101912174,HIGHLAND HTS EL,D
49770860,29.845021,-95.423576,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
56450073,29.85134246,-95.41922009,101912174,HIGHLAND HTS EL,D
