mls,street_number,street_name,unit,city,zip,county,subdivision,home_type,year_built,bedrooms,full_baths,half_baths,total_baths,room_count,fireplaces,stories,pool_private,garages,style,list_price,market_area,area,dom,cdom,list_date,school_district,elementary,high_school,full_address,latitude,longitude,geocode
83500437,2330,River Oaks Boulevard,,Houston,77019,Harris,River Oaks,Single-Family,1940,5,3,2,3.2,20,1,2,FALSE,2,Traditional,4895000,16,River Oaks Area,116,116,10/13/2020,HOUSTON ISD,RIVER OAKS EL,LAMAR H S,"2330 River Oaks Boulevard, Houston, Texas, 77019",29.74471441,-95.42658661,"(29.744714408163265, -95.42658661224489)"
83563017,1912,Summer  Street,C,Houston,77007,Harris,Estates/Summer Street Replat 1,Single-Family,2016,3,3,1,3.1,5,0,4,FALSE,2,Contemporary/Modern,547180,9,Washington East/Sabine,3,3,2/3/2021,HOUSTON ISD,CROCKETT EL,HEIGHTS H S,"1912 Summer  Street, Houston, Texas, 77007",29.77303616,-95.37726739,"(29.773036163265306, -95.37726738775511)"
83580387,3813,Drew Street,,Houston,77004,Harris,Leeland Park,Single-Family,1940,2,1,0,1,2,0,1,FALSE,0,Traditional,315000,4,University Area,68,169,11/30/2020,HOUSTON ISD,BLACKSHEAR EL,YATES H S,"3813 Drew Street, Houston, Texas, 77004",29.73030137,-95.34567252,"(29.73030137427525, -95.3456725151114)"
83639619,1814,Chimney Rock Road,,Houston,77056,Harris,Briarcroft,Single-Family,1956,3,2,0,2,9,1,1,FALSE,2,Ranch,599000,22,Galleria,116,116,10/13/2020,HOUSTON ISD,BRIARGROVE EL,WISDOM H S,"1814 Chimney Rock Road, Houston, Texas, 77056",29.74836593,-95.47724964,"(29.748365934401093, -95.4772496365746)"
83721352,1412,Northwood Street,,Houston,77009,Harris,Brooke Smith,Single-Family,1930,3,2,0,2,3,0,1,FALSE,1,Traditional,249999,9,Heights/Greater Heights,89,89,11/9/2020,HOUSTON ISD,JEFFERSON EL,HEIGHTS H S,"1412 Northwood Street, Houston, Texas, 77009",29.80411018,-95.37801535,"(29.80411018367347, -95.37801534693877)"
83768094,502,Cordell  Street,B,Houston,77009,Harris,Brooke Smith,Single-Family,2020,4,5,0,5,8,1,2,FALSE,2,Traditional,829900,9,Heights/Greater Heights,194,194,7/27/2020,HOUSTON ISD,BROWNING EL,HEIGHTS H S,"502 Cordell  Street, Houston, Texas, 77009",29.79521229,-95.37453618,"(29.795212285714285, -95.37453618367347)"
83768094,502,Cordell  Street,B,Houston,77009,Harris,Brooke Smith,Single-Family,2020,4,5,0,5,8,1,2,FALSE,2,Traditional,829900,9,Heights/Greater Heights,194,194,7/27/2020,HOUSTON ISD,BROWNING EL,HEIGHTS H S,"502 Cordell  Street, Houston, Texas, 77009",29.79521229,-95.37453618,"(29.795212285714285, -95.37453618367347)"
83850797,5511,Elmlawn Drive,,Houston,77033,Harris,Cresmont Sec 01,Single-Family,1956,3,1,2,1.2,3,0,1,FALSE,0,Traditional,157000,3,Medical Center South,40,40,12/28/2020,HOUSTON ISD,MADING EL,STERLING H S,"5511 Elmlawn Drive, Houston, Texas, 77033",29.6502214,-95.34130426,"(29.650221401589278, -95.34130425737632)"
83879537,1311,Willard Street,,Houston,77006,Harris,Stratford,Single-Family,2021,3,3,1,3.1,12,1,2,FALSE,2,"Contemporary/Modern, English, French, Traditional",1475000,16,Montrose,25,25,1/12/2021,HOUSTON ISD,WHARTON K-8 DUAL LANGUAGE ACADEMY,LAMAR H S,"1311 Willard Street, Houston, Texas, 77006",29.7508941,-95.3873175,"(29.7508941, -95.3873175)"
83895752,1017,PEDEN Street,,Houston,77006,Harris,VILLAS ON PEDEN,Single-Family,2021,4,3,1,3.1,14,0,3,FALSE,2,"Contemporary/Modern, Traditional",729900,16,Montrose,12,200,1/25/2021,HOUSTON ISD,WHARTON K-8 DUAL LANGUAGE ACADEMY,LAMAR H S,"1017 PEDEN Street, Houston, Texas, 77006",29.75245798,-95.39126381,"(29.752457984191974, -95.39126381411326)"
83913420,943,W 42nd Street,,Houston,77018,Harris,Garden Oaks,Single-Family,2021,4,3,1,3.1,8,2,2,FALSE,0,Contemporary/Modern,1250000,9,Garden Oaks,8,8,1/29/2021,HOUSTON ISD,GARDEN OAKS MONTESSORI,WALTRIP H S,"943 W 42nd Street, Houston, Texas, 77018",29.82548396,-95.42206933,"(29.825483955203516, -95.42206933400142)"
83937302,1422,Wichman Street,,Houston,77007,Harris,Forest Park Lndg,Single-Family,0,3,3,1,3.1,3,0,4,FALSE,2,Contemporary/Modern,479900,16,Rice Military/Washington Corridor,33,33,1/4/2021,HOUSTON ISD,CROCKETT EL,HEIGHTS H S,"1422 Wichman Street, Houston, Texas, 77007",29.77376101,-95.39308252,"(29.773761008960943, -95.39308251920832)"
83970577,8203,Cambridge,,Houston,77054,Harris,Cambridge Street Landing,Single-Family,2014,3,3,1,3.1,6,0,3,FALSE,2,Contemporary/Modern,355000,17,Medical Center Area,137,174,8/4/2020,HOUSTON ISD,WHIDBY EL,LAMAR H S,"8203 Cambridge, Houston, Texas, 77054",29.68658493,-95.39565565,"(29.68658493261397, -95.39565565075456)"
83990554,6308,Community Drive,,Houston,77005,Harris,Colonial Terrace,Single-Family,2020,4,4,1,4.1,9,1,2,FALSE,2,"Contemporary/Modern, Traditional",1475000,17,West University/Southside Area,110,218,10/19/2020,HOUSTON ISD,WEST UNIVERSITY EL,LAMAR H S,"6308 Community Drive, Houston, Texas, 77005",29.71401514,-95.446989,"(29.714015142857143, -95.446989)"
84141547,3907,Griggs,,Houston,77021,Harris,Bayou Griggs,Single-Family,2021,3,3,1,3.1,7,0,3,FALSE,2,Contemporary/Modern,329900,4,Riverside,255,255,5/27/2020,HOUSTON ISD,PECK EL,YATES H S,"3907 Griggs, Houston, Texas, 77021",29.70441408,-95.3570127,"(29.704414083333333, -95.3570127)"
84222820,1252,Nelson Falls Lane,,Houston,77008,Harris,Bella Add,Single-Family,2012,3,3,1,3.1,5,0,3,FALSE,2,Other Style,499990,9,Heights/Greater Heights,4,4,2/2/2021,HOUSTON ISD,SINCLAIR EL,WALTRIP H S,"1252 Nelson Falls Lane, Houston, Texas, 77008",29.798367,-95.42051735,"(29.798367, -95.42051734853595)"
84267134,6628,Vanderbilt Street,,West University Place,77005,Harris,West University Place,Single-Family,2019,5,5,1,5.1,12,1,2,FALSE,2,Traditional,3499000,17,West University/Southside Area,12,684,1/25/2021,HOUSTON ISD,WEST UNIVERSITY EL,LAMAR H S,"6628 Vanderbilt Street, West University Place, Texas, 77005",29.70865986,-95.42606643,"(29.708659857142855, -95.42606642857143)"
84302430,2038,Norfolk Street,,Houston,77098,Harris,Albemarle Place,Single-Family,1935,2,1,0,1,2,0,2,FALSE,0,Traditional,574999,16,Montrose,535,1773,8/21/2019,HOUSTON ISD,POE EL,LAMAR H S,"2038 Norfolk Street, Houston, Texas, 77098",29.73265439,-95.40947473,"(29.732654393939395, -95.40947472727272)"
84321564,711,LINK ,A,Houston,77008,Harris,Tiwnhome-ENCLAVE OF NEWER HEIGHTS,Single-Family,2018,3,3,1,3.1,8,0,3,FALSE,2,"Contemporary/Modern, Traditional",359900,9,Heights/Greater Heights,1,1,2/5/2021,HOUSTON ISD,JEFFERSON EL,HEIGHTS H S,"711 LINK , Houston, Texas, 77008",29.80836246,-95.37954416,"(29.80836246308725, -95.37954416107382)"
84331588,5620,Saint Paul Street,,Bellaire,77401,Harris,Newcastle Terrace,Single-Family,1980,3,2,1,2.1,6,1,2,FALSE,2,Traditional,383375,17,Bellaire Area,165,267,8/5/2020,HOUSTON ISD,HORN EL,BELLAIRE H S,"5620 Saint Paul Street, Bellaire, Texas, 77401",29.7179095,-95.45198929,"(29.7179095, -95.45198928571429)"
84369304,2902,Parker  Road,B,Houston,77093,Harris,Mccorquodale U/R,Single-Family,1942,6,3,0,3,11,0,1,FALSE,0,Traditional,229500,9,Northside,79,79,11/19/2020,HOUSTON ISD,COOP EL,HOUSTON MATH SCIENCE AND TECHNOLOG,"2902 Parker  Road, Houston, Texas, 77093",29.85942248,-95.34076629,"(29.85942247609166, -95.34076628654118)"
84394614,807,Blackshire Lane,,Houston,77055,Harris,Somerset Green,Single-Family,2021,4,4,1,4.1,11,0,4,FALSE,2,Georgian,839000,9,Timbergrove/Lazybrook,25,130,1/12/2021,HOUSTON ISD,SINCLAIR EL,WALTRIP H S,"807 Blackshire Lane, Houston, Texas, 77055",29.7861864,-95.4428884,"(29.7861864, -95.4428884)"
84433243,8214,Grandview Street,,Houston,77051,Harris,Sunnyside Place,Single-Family,2021,3,2,0,2,5,0,2,FALSE,2,Contemporary/Modern,275000,3,Medical Center South,96,96,11/2/2020,HOUSTON ISD,YOUNG EL,WORTHING H S,"8214 Grandview Street, Houston, Texas, 77051",29.67284957,-95.37457871,"(29.67284957142857, -95.37457871428572)"
84439107,2751,Freund St,,Houston,77003,Harris,EAST END ON THE BAYOU,Single-Family,2021,4,4,1,4.1,15,0,4,FALSE,2,"Mediterranean, Traditional",534900,4,East End Revitalized,85,85,11/13/2020,HOUSTON ISD,BURNET EL,WHEATLEY H S,"2751 Freund St, Houston, Texas, 77003",29.75996939,-95.33980355,"(29.759969387755103, -95.33980355102041)"
84569103,806,Sledge Street,,Houston,77009,Harris,Woodland Terrace,Single-Family,1930,3,2,0,2,8,1,2,FALSE,2,Traditional,599900,9,Heights/Greater Heights,65,65,12/3/2020,HOUSTON ISD,TRAVIS EL,HEIGHTS H S,"806 Sledge Street, Houston, Texas, 77009",29.7814099,-95.38090741,"(29.781409897959183, -95.38090740816327)"
