mls,school
48678204,HELMS EL
11409101,HELMS EL
86419751,HELMS EL
53831937,HELMS EL
85612808,HELMS EL
91369427,HELMS EL
27485315,HELMS EL
20683119,HELMS EL
56955778,HELMS EL
37081620,HELMS EL
83270439,HELMS EL
88939558,HELMS EL
12203938,HELMS EL
40782374,HELMS EL
11875539,HELMS EL
98217461,HELMS EL
92394239,HELMS EL
39078427,HELMS EL
4385377,HELMS EL
71076207,HELMS EL
16587864,HELMS EL
52512366,HELMS EL
87915488,HELMS EL
23950267,HELMS EL
57680914,HELMS EL
6629270,HELMS EL
8096318,HELMS EL
54060829,JEFFERSON EL
10811451,JEFFERSON EL
19387174,JEFFERSON EL
24609584,JEFFERSON EL
83721352,JEFFERSON EL
75418896,JEFFERSON EL
49683349,JEFFERSON EL
58472079,JEFFERSON EL
23306732,JEFFERSON EL
42981529,JEFFERSON EL
50863575,JEFFERSON EL
24212652,JEFFERSON EL
3342564,JEFFERSON EL
88679724,JEFFERSON EL
23420023,JEFFERSON EL
73120183,JEFFERSON EL
80311949,JEFFERSON EL
84321564,JEFFERSON EL
97453555,LOVE EL
9988326,LOVE EL
7079311,LOVE EL
29266329,LOVE EL
35204683,LOVE EL
69292990,LOVE EL
37098227,LOVE EL
7249542,LOVE EL
33694579,LOVE EL
96754558,LOVE EL
58235623,LOVE EL
2678297,LOVE EL
76636431,LOVE EL
19930010,LOVE EL
92604832,LOVE EL
60314381,LOVE EL
10784624,LOVE EL
33311096,LOVE EL
10021636,LOVE EL
48717074,LOVE EL
34482854,LOVE EL
50967940,LOVE EL
78469531,LOVE EL
61124617,LOVE EL
95440458,LOVE EL
41652894,LOVE EL
65380681,LOVE EL
63955797,LOVE EL
41445485,LOVE EL
57029198,LOVE EL
78970128,LOVE EL
84029418,LOVE EL
25325660,LOVE EL
17195795,LOVE EL
24989750,LOVE EL
11311267,LOVE EL
11601814,LOVE EL
47724750,LOVE EL
38257235,LOVE EL
54400964,LOVE EL
32572445,LOVE EL
87280618,LOVE EL
16078684,LOVE EL
52970873,LOVE EL
48703972,LOVE EL
13647674,LOVE EL
25642362,LOVE EL
80477349,MEMORIAL EL
87429496,MEMORIAL EL
57574942,MEMORIAL EL
79431488,MEMORIAL EL
8157602,MEMORIAL EL
38989978,MEMORIAL EL
27849432,MEMORIAL EL
75849542,MEMORIAL EL
2927265,MEMORIAL EL
27316316,MEMORIAL EL
25761043,MEMORIAL EL
44205593,MEMORIAL EL
27182049,MEMORIAL EL
4676108,MEMORIAL EL
59215297,MEMORIAL EL
3329659,MEMORIAL EL
30293095,MEMORIAL EL
6155891,MEMORIAL EL
67324981,MEMORIAL EL
91790603,MEMORIAL EL
90578605,MEMORIAL EL
71690478,MEMORIAL EL
27689596,MEMORIAL EL
23389353,MEMORIAL EL
95099114,MEMORIAL EL
74965100,MEMORIAL EL
92989512,MEMORIAL EL
37450205,MEMORIAL EL
63988813,MEMORIAL EL
59808244,MEMORIAL EL
10303061,MEMORIAL EL
54921596,MEMORIAL EL
94610189,MEMORIAL EL
19081439,MEMORIAL EL
42472652,MEMORIAL EL
8331063,MEMORIAL EL
22284731,MEMORIAL EL
46030293,MEMORIAL EL
77818320,MEMORIAL EL
55211227,TRAVIS EL
55450733,TRAVIS EL
24527943,TRAVIS EL
89659628,TRAVIS EL
2418496,TRAVIS EL
76315910,TRAVIS EL
60616507,TRAVIS EL
65537254,TRAVIS EL
6833493,TRAVIS EL
5449731,TRAVIS EL
61478006,TRAVIS EL
54781318,TRAVIS EL
45541384,TRAVIS EL
50846589,TRAVIS EL
84569103,TRAVIS EL
68833297,TRAVIS EL
86633368,TRAVIS EL
63783100,TRAVIS EL
98403620,TRAVIS EL
41231850,TRAVIS EL
43064083,TRAVIS EL
92005982,TRAVIS EL
85611075,TRAVIS EL
27839695,TRAVIS EL
43531198,TRAVIS EL
13398913,TRAVIS EL
25541252,TRAVIS EL
3175871,POST EL
19469126,COOK JR EL
49135615,COOK JR EL
65367920,COOK JR EL
47545448,COOK JR EL
37976904,COOK JR EL
17540520,COOK JR EL
36571267,COOK JR EL
94428710,COOK JR EL
84926006,COOK JR EL
82885735,COOK JR EL
52734016,COOK JR EL
61783924,ELMORE EL
22134801,ELMORE EL
95375573,ELMORE EL
11822516,ELMORE EL
6136845,ELMORE EL
27141157,ELMORE EL
66427347,ELMORE EL
87043178,ELMORE EL
14897422,ELMORE EL
44768461,ELMORE EL
1041641,ELMORE EL
68830431,ELMORE EL
93126151,ELMORE EL
73791585,ELMORE EL
56440072,ELMORE EL
13915219,ELMORE EL
77788617,KASHMERE GARDENS EL
16594943,KASHMERE GARDENS EL
44555971,MCGOWEN EL
37085079,MCGOWEN EL
37557059,MCGOWEN EL
67179398,MCGOWEN EL
17768713,MCGOWEN EL
41613079,RODERICK R PAIGE EL
90604500,RODERICK R PAIGE EL
33768363,RODERICK R PAIGE EL
50592635,RODERICK R PAIGE EL
51671785,RODERICK R PAIGE EL
69681803,RODERICK R PAIGE EL
61866650,RODERICK R PAIGE EL
39934955,ROSS EL
94860247,ROSS EL
41826085,GREGORY-LINCOLN ED CTR
4117192,GREGORY-LINCOLN ED CTR
47322061,GREGORY-LINCOLN ED CTR
78203450,GREGORY-LINCOLN ED CTR
29513112,GREGORY-LINCOLN ED CTR
59046521,GREGORY-LINCOLN ED CTR
8797838,GREGORY-LINCOLN ED CTR
67264587,GREGORY-LINCOLN ED CTR
95756492,GREGORY-LINCOLN ED CTR
21315276,GREGORY-LINCOLN ED CTR
52061919,GREGORY-LINCOLN ED CTR
12892280,GREGORY-LINCOLN ED CTR
77592370,GREGORY-LINCOLN ED CTR
87702589,GREGORY-LINCOLN ED CTR
89294987,GREGORY-LINCOLN ED CTR
92483400,GREGORY-LINCOLN ED CTR
45070720,GREGORY-LINCOLN ED CTR
20253005,GREGORY-LINCOLN ED CTR
47688089,GREGORY-LINCOLN ED CTR
