mls,street_number,street_name,unit,city,zip,county,subdivision,home_type,year_built,bedrooms,full_baths,half_baths,total_baths,room_count,fireplaces,stories,pool_private,garages,style,list_price,market_area,area,dom,cdom,list_date,school_district,elementary,high_school
54781318,627,Merrill Street,,Houston,77009,Harris,Woodland Heights,Single-Family,2020,4,3,1,3.1,11,1,2,FALSE,2,"Contemporary/Modern, Traditional",1599000,9,Heights/Greater Heights,91,91,11/7/2020,HOUSTON ISD,TRAVIS ELEMENTARY,HEIGHTS HIGH SCHOOL
54823912,5707,Greencraig Drive,,Houston,77035,Harris,Westbury South,Single-Family,1960,3,2,0,2,3,1,1,FALSE,0,Ranch,250000,20,Brays Oaks,18,18,1/19/2021,HOUSTON ISD,ANDERSON ELEMENTARY,WESTBURY HIGH SCHOOL
54888737,433,Cortlandt Street,,Houston,77007,Harris,Houston Heights,Single-Family,2007,4,4,0,4,15,1,2,FALSE,2,"Traditional, Victorian",1494900,9,Heights/Greater Heights,64,226,12/4/2020,HOUSTON ISD,HARVARD ELEMENTARY,HEIGHTS HIGH SCHOOL
54916442,8110,Coastway,,Houston,77075,Harris,Gulf Meadows Sec 03,Single-Family,1968,4,2,0,2,4,2,1,FALSE,2,Traditional,194900,3,Hobby Area,54,54,12/14/2020,HOUSTON ISD,MITCHELL ELEMENTARY,STERLING HIGH SCHOOL
54921596,4420,Gibson Street,,Houston,77007,Harris,Magnolia Grove,Single-Family,1950,2,2,0,2,5,0,1,FALSE,1,Traditional,500000,16,Rice Military/Washington Corridor,90,90,10/21/2020,HOUSTON ISD,MEMORIAL ELEMENTARY,HEIGHTS HIGH SCHOOL
55067084,9501,Pemberton Crescent Drive,,Houston,77025,Harris,Pemberton Crescent Amd Place,Single-Family,2009,3,3,1,3.1,11,1,3,FALSE,2,Traditional,389999,17,Knollwood/Woodside Area,25,192,12/11/2020,HOUSTON ISD,LONGFELLOW ELEMENTARY,BELLAIRE HIGH SCHOOL
55070891,3957,Tulane Street,,Houston,77018,Harris,Tulane Park,Single-Family,2018,3,2,1,2.1,6,0,2,FALSE,2,Contemporary/Modern,310000,9,Northwest Houston,26,26,1/11/2021,HOUSTON ISD,KENNEDY ELEMENTARY,WASHINGTON B T HIGH SCHOOL
55072083,6273,Piping Rock Lane,,Houston,77057,Harris,Briargrove,Single-Family,2020,4,4,1,4.1,11,1,2,FALSE,2,Contemporary/Modern,1995000,22,Briargrove,1,190,2/5/2021,HOUSTON ISD,BRIARGROVE ELEMENTARY,WISDOM HIGH SCHOOL
55079914,130,Reinerman ,,Houston,77007,Harris,Reinerman Terrace,Single-Family,2020,3,3,1,3.1,13,0,4,FALSE,2,Contemporary/Modern,699700,16,Rice Military/Washington Corridor,110,158,10/19/2020,HOUSTON ISD,MEMORIAL ELEMENTARY,LAMAR HIGH SCHOOL
55178591,707,5th 1/2 ,,Houston,77007,Harris,Freeland Add Rep,Single-Family,1940,2,1,0,1,6,1,1,FALSE,2,Traditional,500000,9,Heights/Greater Heights,106,205,10/15/2020,HOUSTON ISD,HARVARD ELEMENTARY,HEIGHTS HIGH SCHOOL
55196233,9106,Kapri Lane,,Houston,77025,Harris,Woodside Sec 03,Single-Family,1955,4,2,1,2.1,12,1,2,FALSE,2,Ranch,499000,17,Knollwood/Woodside Area,95,812,11/3/2020,HOUSTON ISD,LONGFELLOW ELEMENTARY,BELLAIRE HIGH SCHOOL
55205588,1006,Enid  Street,B,Houston,77009,Harris,Brook Smith Square,Single-Family,2015,3,3,2,3.2,5,0,3,FALSE,2,Contemporary/Modern,659999,9,Heights/Greater Heights,143,143,9/16/2020,HOUSTON ISD,BROWNING ELEMENTARY,HEIGHTS HIGH SCHOOL
55211227,109,Tabor Street,,Houston,77009,Harris,Brooke Smith,Single-Family,2014,4,2,1,2.1,8,1,2,FALSE,2,Traditional,975000,9,Heights/Greater Heights,31,31,1/6/2021,HOUSTON ISD,TRAVIS ELEMENTARY,HEIGHTS HIGH SCHOOL
55293660,5417,Westbrook,,Houston,77016,Harris,Bristol Place,Single-Family,2021,3,2,0,2,6,0,1,FALSE,2,Traditional,227000,2,Northside,27,27,1/10/2021,HOUSTON ISD,SHADYDALE ELEMENTARY,NORTH FOREST HIGH SCHOOL
55326125,2418,Bron Holly Drive,,Houston,77018,Harris,Shepherd Forest Sec 02,Single-Family,1957,3,1,1,1.1,6,0,1,FALSE,0,Traditional,355000,9,Oak Forest East Area,0,0,2/6/2021,HOUSTON ISD,OAK FOREST ELEMENTARY,WALTRIP HIGH SCHOOL
55341402,5618,Verdome Lane,,Houston,77092,Harris,Forest Pines,Single-Family,1978,4,2,0,2,5,0,1,FALSE,1,Traditional,329500,9,Oak Forest West Area,41,41,12/27/2020,HOUSTON ISD,WAINWRIGHT ELEMENTARY,SCARBOROUGH HIGH SCHOOL
55366551,1434,Wichita ,,Houston,77004,Harris,Pawl Terrace,Single-Family,2006,3,3,1,3.1,6,0,3,FALSE,0,Spanish,449990,17,Rice/Museum District,59,122,12/9/2020,HOUSTON ISD,MACGREGOR ELEMENTARY,LAMAR HIGH SCHOOL
55380677,5866,Braesheather Drive,,Houston,77096,Harris,Maplewood South Sec 04,Single-Family,1962,4,2,0,2,11,1,1,FALSE,2,Traditional,517400,20,Meyerland Area,272,455,3/13/2020,HOUSTON ISD,HEROD ELEMENTARY,WESTBURY HIGH SCHOOL
55383682,8203,Oak Knoll  Lane,B,Houston,77028,Harris,Clairmont Place,Single-Family,2020,3,2,1,2.1,3,0,2,FALSE,2,Traditional,225000,2,Northeast Houston,106,106,10/23/2020,HOUSTON ISD,HILLIARD ELEMENTARY,NORTH FOREST HIGH SCHOOL
55412017,807,Shallow Hollow Drive,,Houston,77018,Harris,Pinemont Area,Single-Family,2020,3,2,1,2.1,10,0,2,FALSE,2,Traditional,329700,9,Shepherd Park Plaza Area,18,129,1/19/2021,HOUSTON ISD,DURHAM ELEMENTARY,WALTRIP HIGH SCHOOL
55412382,3822,Olympia Drive,,Houston,77019,Harris,River Oaks,Single-Family,1951,5,4,1,4.1,9,1,2,TRUE,2,Traditional,2100000,16,River Oaks Area,5,5,2/1/2021,HOUSTON ISD,RIVER OAKS ELEMENTARY,LAMAR HIGH SCHOOL
55433772,3900,Milam ,,Houston,77006,Harris,Bute,Single-Family,1912,5,5,4,5.4,5,5,2,FALSE,0,Colonial,1795000,16,Montrose,75,75,11/23/2020,HOUSTON ISD,MACGREGOR ELEMENTARY,LAMAR HIGH SCHOOL
55450733,115,Alma Street,,Houston,77009,Harris,GROTA HOME,Single-Family,1903,2,2,0,2,7,0,1,FALSE,2,Traditional,649900,9,Heights/Greater Heights,1,1,2/5/2021,HOUSTON ISD,TRAVIS ELEMENTARY,HEIGHTS HIGH SCHOOL
55478507,2107,Driscoll Street,,Houston,77019,Harris,Hyde Park Oaks Sec 02,Single-Family,2007,3,3,1,3.1,7,1,3,FALSE,2,Spanish,560000,16,River Oaks Shopping Area,5,5,2/1/2021,HOUSTON ISD,WILSON MONTESSORI,LAMAR HIGH SCHOOL
55486861,4506,Banning Street,,Houston,77027,Harris,Afton Oaks,Single-Family,2020,4,4,1,4.1,14,2,2,FALSE,2,"Contemporary/Modern, Traditional",2380000,16,Royden Oaks/Afton Oaks,213,213,6/9/2020,HOUSTON ISD,GREGORY-LINCOLN ED CTR,LAMAR HIGH SCHOOL
55570440,8411,Academy Street,,Houston,77025,Harris,Ayrshire,Single-Family,1963,4,2,1,2.1,4,0,1,FALSE,1,Traditional,695000,17,Braeswood Place,7,18,1/30/2021,HOUSTON ISD,TWAIN ELEMENTARY,BELLAIRE HIGH SCHOOL
55630825,4400,Holt Street,,Bellaire,77401,Harris,Southdale,Single-Family,1950,3,1,0,1,6,0,1,FALSE,2,Other Style,389900,17,Bellaire Area,173,1131,8/17/2020,HOUSTON ISD,HORN ELEMENTARY,BELLAIRE HIGH SCHOOL
55649356,11202,Pandora Drive,,Houston,77013,Harris,Wynnewood Acres,Single-Family,1955,3,2,0,2,7,0,1,FALSE,0,Traditional,197300,2,Northeast Houston,66,66,12/2/2020,HOUSTON ISD,OATES ELEMENTARY,FURR HIGH SCHOOL
55670317,5319,Burkett Street,,Houston,77004,Harris,Timber Crest,Single-Family,1952,4,2,1,2.1,9,1,2,FALSE,2,Traditional,489000,4,Riverside,95,95,10/30/2020,HOUSTON ISD,LOCKHART ELEMENTARY,YATES HIGH SCHOOL
55687140,5718,Cherry Street Street,,Houston,77026,Harris,Central Gardens Sec 02,Single-Family,1954,5,1,0,1,7,0,1,FALSE,0,Traditional,190000,9,Northside,48,48,12/20/2020,HOUSTON ISD,ROSS ELEMENTARY,NORTHSIDE HIGH SCHOOL
55714488,12862,Kingsbridge Lane,,Houston,77077,Harris,Lake At Stonehenge,Single-Family,1994,2,2,1,2.1,6,1,2,FALSE,2,Other Style,297500,31,Energy Corridor,9,95,1/28/2021,HOUSTON ISD,RAY DAILY ELEMENTARY,WESTSIDE HIGH SCHOOL
55720545,5512,Val Verde,,Houston,77056,Harris,Villa De Fiori,Single-Family,2002,4,3,1,3.1,9,1,3,TRUE,2,Traditional,799555,22,Galleria,12,107,1/25/2021,HOUSTON ISD,BRIARGROVE ELEMENTARY,WISDOM HIGH SCHOOL
55740429,2418,Huldy  Street,A,Houston,77019,Harris,Morgan,Single-Family,2020,4,3,1,3.1,9,0,3,FALSE,2,"Contemporary/Modern, Traditional",719900,16,River Oaks Shopping Area,81,317,11/17/2020,HOUSTON ISD,WILSON MONTESSORI,LAMAR HIGH SCHOOL
