mls,school,campus_number
7221693,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
9791409,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
10519978,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
11301473,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
13291460,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
15823318,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
18402995,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
18748855,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
25639464,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
25752563,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
28532900,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
35285425,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
35309746,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
35943320,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
36115354,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
40523629,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
41310651,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
42997701,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
43111391,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
43624081,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
46043635,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
51167315,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
54116504,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
55783153,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
59509148,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
60617768,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
62057474,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
68171950,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
72365651,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
73253513,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
75143521,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
76321905,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
77574251,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
77577442,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
83879537,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
83895752,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
85650059,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
92479478,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
94509240,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
95073244,WHARTON K-8 DUAL LANGUAGE ACADEMY,101912256
964027,MACGREGOR EL,101912201
11725906,MACGREGOR EL,101912201
14092267,MACGREGOR EL,101912201
23531986,MACGREGOR EL,101912201
23549544,MACGREGOR EL,101912201
24353092,MACGREGOR EL,101912201
26222190,MACGREGOR EL,101912201
27087722,MACGREGOR EL,101912201
