mls,campus_number
14449468,101912112
14449468,101912027
14470989,101912198
14470989,101912015
14493532,101912036
14493532,101912275
14543905,101912015
14543905,101912241
14564553,101912008
14564553,101912251
14642400,101912479
14642400,101912477
14702643,101912008
14702643,101912058
14729280,101912182
14729280,101912003
14753120,101912116
14753120,101912009
14753120,101912009
14753120,101912116
14834187,101912221
14834187,101912008
14835250,101912015
14835250,101912245
14897422,101912475
14897422,101912007
14904278,101912012
14904278,101912152
14944818,101912130
14944818,101912002
15009508,101912396
15009508,101912036
15030038,101912036
15030038,101912253
15037028,101912008
15037028,101912058
15046737,101912216
15046737,101912027
15080548,101912008
15080548,101912204
15106979,101912124
15106979,101912001
15122012,101912224
15122012,101912017
15128890,101912396
15128890,101912036
15140876,101912107
15140876,101902003
15208287,101912008
15208287,101912204
15244885,101912116
15244885,101912009
15354039,101912002
15354039,101912178
15371507,101912135
15371507,101912012
15374390,101912008
15374390,101912221
15378590,101912014
15378590,101912102
15425931,101912001
15425931,101912172
15459024,101912015
15459024,101912174
15471807,101912019
15471807,101912225
15475660,101912008
15475660,101912058
15551712,101912156
15551712,101912014
15578739,101912020
15578739,101912195
15744806,101912002
15744806,101912178
15754641,101912169
15754641,101912012
15809925,101912172
15809925,101912001
15815272,101912108
15815272,101912019
15823318,101912008
15823318,101912256
15883703,101912002
15883703,101912178
15889188,101912477
15889188,101912473
15889188,101912473
15889188,101912477
15899077,101912009
15899077,101912116
15909868,101912008
15909868,101912204
15937626,101912279
15937626,101912001
15959486,101912019
15959486,101912108
15963198,101912291
15963198,101912011
15974024,101912106
15974024,101912018
15987620,101912012
15987620,101912135
16066274,101912110
16066274,101912020
16078684,101912012
16078684,101912198
16152416,101912023
16152416,101912227
16203839,101912008
16203839,101912008
16203839,101912221
16203839,101912221
16242745,101912259
16242745,101912008
16264634,101912018
16264634,101912140
16307473,101912204
16307473,101912008
16328065,101912011
16328065,101912291
16352744,101912241
16352744,101912015
16379921,101912008
16379921,101912229
16392112,101912008
16392112,101912251
16460769,101912268
16460769,101912024
16587864,101912012
16587864,101912170
16594943,101912185
16594943,101912007
16632508,101912204
16632508,101912008
16665954,101912198
16665954,101912015
16720289,101912310
16720289,101912132
16740976,101912253
16740976,101912036
16754059,101912396
16754059,101912036
16773895,101912215
16773895,101912017
16775075,101912008
16775075,101912204
16781831,101912017
16781831,101912215
16782804,101920106
16782804,101920005
16925172,101912241
16925172,101912015
16932057,101912195
16932057,101912020
16982239,101912019
16982239,101912247
17007760,101912133
17007760,101912027
17048928,101912015
17048928,101912198
17056955,101912020
17056955,101912195
17081969,101912015
17081969,101912241
17189990,101912015
17189990,101912157
17195795,101912198
17195795,101912012
17199767,101912015
17199767,101912245
17248485,101912003
17248485,101912182
17305171,101912204
17305171,101912008
17327175,101912287
17327175,101912001
17391717,101912204
17391717,101912015
17405521,101912181
17405521,101912310
17456100,101912016
17456100,101912125
17527078,101912036
17527078,101912253
17540520,101912007
17540520,101912358
17563829,101912106
17563829,101912018
17580127,101912001
17580127,101912117
17583191,101912192
17583191,101912001
17655836,101912259
17655836,101912008
17692582,101912252
17692582,101912024
17768713,101912007
17768713,101912179
17793273,101912014
17793273,101912187
17821978,101912215
17821978,101912017
17924058,101912009
17924058,101912149
17936309,101912221
17936309,101912008
17936925,101912116
17936925,101912009
18033704,101912225
18033704,101912019
18079006,101912116
18079006,101912009
18227187,101912003
18227187,101912182
18281082,101912243
18281082,101912020
18402995,101912256
18402995,101912008
18426183,101912169
18426183,101912012
18436637,101912012
18436637,101912120
18448740,101912020
18448740,101912154
18714520,101912228
18714520,101912008
18733840,101912015
18733840,101912241
18748855,101912008
18748855,101912256
18787151,101912012
18787151,101912152
18810105,101912019
18810105,101912108
18828450,101912116
18828450,101912009
18847614,101912287
18847614,101912001
18880413,101912058
18880413,101912012
18904138,101912242
18904138,101912024
18931804,101912020
18931804,101912110
18983639,101912004
18983639,101912220
18985628,101912017
18985628,101912105
19032072,101912253
19032072,101912036
19042958,101912012
19042958,101912152
19058858,101912002
19058858,101912251
19081439,101912204
19081439,101912012
19106227,101912211
19106227,101912015
19140986,101912477
19140986,101912479
19212744,101912009
19212744,101912116
19213236,101912224
19213236,101912017
19265001,101912196
19265001,101912002
19274054,101912221
19274054,101912008
19274350,101912196
19274350,101912002
19306809,101912020
19306809,101912217
19318354,101912008
19318354,101912058
19371028,101912001
19371028,101912292
19387174,101912012
19387174,101912182
19432123,101912012
19432123,101912135
19469126,101912007
19469126,101912358
19492544,101912152
19492544,101912012
19513619,101912204
19513619,101912008
19612348,101912016
19612348,101912125
19613837,101912241
19613837,101912015
19632205,101912002
19632205,101912173
19734021,101912215
19734021,101912017
19757684,101912259
19757684,101912008
19812707,101912175
19812707,101912010
19930010,101912198
19930010,101912012
19937617,101912020
19937617,101912195
19947838,101912017
19947838,101912215
20114536,101912008
20114536,101912228
20116291,101912187
20116291,101912019
20131137,101912178
20131137,101912002
20177779,101912215
20177779,101912017
20200251,101912024
20200251,101912252
20253005,101912008
20253005,101912058
20257555,101912008
20257555,101912221
20485385,101912008
20485385,101912058
20492616,101912216
20492616,101912027
20578577,101912002
20578577,101912114
20603539,101912224
20603539,101912017
20609299,101912016
20609299,101912016
20609299,101912174
20609299,101912174
20637019,101912228
20637019,101912008
20653756,101912137
20653756,101912310
20660511,101912012
20660511,101912120
20680733,101912130
20680733,101912002
20681303,101912001
20681303,101912124
20683819,101912152
20683819,101912012
20684110,101912016
20684110,101912188
20692092,101912015
20692092,101912245
20780265,101912001
20780265,101912192
20791385,101912252
20791385,101912024
20869537,101912018
20869537,101912124
20895706,101912009
20895706,101912116
20967790,101912233
20967790,101912027
20985865,101912224
20985865,101912002
21005895,101912010
21005895,101912239
21037204,101912221
21037204,101912008
21059713,101912173
21059713,101912002
21077061,101912253
21077061,101912036
21110359,101912010
21110359,101912239
21226607,101912259
21226607,101912008
21254096,101912267
21254096,101912023
21315276,101912008
21315276,101912058
21401956,101912102
21401956,101912019
21419382,101912253
21419382,101912036
21447393,101912016
21447393,101912125
21498467,101912245
21498467,101912015
21501605,101912002
21501605,101912251
21562050,101912023
21562050,101912248
21564639,101912020
21564639,101912257
21585737,101912012
21585737,101912120
21704234,101912012
21704234,101912135
21715414,101912111
21715414,101912023
21780891,101912259
21780891,101912008
21845693,101912196
21845693,101912002
21979327,101912396
21979327,101912036
22026485,101912105
22026485,101912017
22118694,101912251
22118694,101912002
22126601,101912002
22126601,101912199
22128284,101912124
22128284,101912001
22131443,101912002
22131443,101912178
22134801,101912475
22134801,101912007
22142483,101912036
22142483,101912253
22191368,101912020
22191368,101912110
22218895,101912228
22218895,101912008
22244297,101912224
22244297,101912017
22284731,101912012
22284731,101912204
22406972,101912001
22406972,101912192
22431351,101912015
22431351,101912245
22440945,101912002
22440945,101912178
22441580,101912204
22441580,101912008
22469562,101912002
22469562,101912130
22521265,101912254
22521265,101912016
22523359,101912017
22523359,101912224
22534509,101912274
22534509,101912036
22548857,101912110
22548857,101912020
22551479,101912130
22551479,101912002
22594805,101912108
22594805,101912019
22620714,101912017
22620714,101912224
22686426,101912116
22686426,101912009
22688398,101912009
22688398,101912149
22741989,101912036
22741989,101912253
22767989,101912239
22767989,101912017
22768218,101912477
22768218,101912479
22785384,101912124
22785384,101912001
22786898,101912009
22786898,101912116
22823093,101912149
22823093,101912009
22829072,101912009
22829072,101912116
22961328,101912036
22961328,101912273
22963749,101912012
22963749,101912169
22976241,101912204
22976241,101912015
22986427,101912009
22986427,101912116
22987504,101912204
22987504,101912008
23040025,101912241
23040025,101912015
23068653,101912273
23068653,101912036
23080784,101912002
23080784,101912136
23148917,101912140
23148917,101912018
23243852,101912473
23243852,101912477
23267723,101912008
23267723,101912204
23268054,101912110
23268054,101912020
23306163,101912010
23306163,101912175
23306732,101912182
23306732,101912012
23353569,101912008
23353569,101912058
23355807,101912015
23355807,101912241
23389353,101912012
23389353,101912204
23431940,101912152
23431940,101912012
23453730,101912276
23453730,101912036
23531986,101912201
23531986,101912008
23549544,101912008
